Final_score	Birds	Bonus_cards	End_of_round_goals	Eggs	Food_on_cards	Tucked_cards	Nectar	Win	Player	Place	Forest	Grass	Water	turn_order	Win_bool	allbirds	N_birds
115	60	15	5	11	18	0	10	1	Erk						TRUE		0
99	44	23	15	5	2	6	4	0	Pent						FALSE		0
73	24	0	18	18	0	10	3	0	Kent						FALSE		0
94	50	7	15	8	0	7	7	1	Athos						TRUE		0
103	44	10	19	12	3	11	4	1	Pent						TRUE		0
95	54	11	12	3	0	5	10	0	Kent						FALSE		0
109	47	17	11	10	7	10	7	1	Athos						TRUE		0
104	61	8	15	8	3	4	5	0	Erk						FALSE		0
113	48	7	7	15	5	7	9	0	Pent						FALSE		0
119	44	29	16	4	9	4	13	1	Athos						TRUE		0
99	59	4	16	0	17	0	3	0	Erk						FALSE		0
88	49	2	15	7	11	0	4	0	Pent						FALSE		0
112	39	7	19	12	18	5	12	1	Athos						TRUE		0
120	54	13	16	5	1	22	9	1	Pent						TRUE		0
101	55	9	19	1	2	3	12	0	Athos						FALSE		0
115	54	16	19	4	4	9	9	1	Pent						TRUE		0
92	41	15	12	2	2	10	10	0	Athos						FALSE		0
95	56	9	11	9	0	2	8	1	Erk						TRUE		0
88	56	18	8	1	3	0	2	0	Pent						FALSE		0
113	62	13	10	19	2	2	5	1	Athos						TRUE		0
101	58	12	7	11	0	5	8	0	Erk						FALSE		0
104	55	19	15	2	0	9	4	1	Pent						TRUE		0
94	49	13	13	16	0	0	3	0	Kent						FALSE		0
89	46	3	16	6	0	7	11	0	Athos						FALSE		0
111	48	6	19	7	6	17	8	1	Pent						TRUE		0
100	50	20	11	5	0	11	3	0	Athos						FALSE		0
89	56	13	8	3	2	4	3	0	Pent						FALSE		0
106	61	5	19	13	0	6	2	1	Kent						TRUE		0
103	58	5	12	11	0	6	11	0	Erk						FALSE		0
98	44	17	11	9	3	12	2	0	Athos						FALSE		0
108	59	4	11	6	0	16	12	0	Erk						FALSE		0
130	57	8	18	12	9	19	7	1	Pent						TRUE		0
110	56	25	18	9	0	10	2	0	Pent						FALSE		0
112	60	14	22	5	0	8	3	1	Kent						TRUE		0
104	63	14	10	2	0	5	10	0	Erk						FALSE		0
83	57	12	3	1	0	5	5	0	Athos						FALSE		0
96	47	9	9	9	3	14	5	0	Athos						FALSE		0
113	63	3	18	14	8	0	7	1	Erk						TRUE		0
112	56	12	14	6	3	12	9	0	Pent						FALSE		0
124	67	8	22	3	9	9	6	1	Athos						TRUE		0
95	63	5	10	1	2	7	7	0	Erk						FALSE		0
106	56	7	16	10	6	3	8	0	Pent						FALSE		0
114	66	16	12	0	1	4	15	0	Athos						FALSE		0
122	49	18	19	23	4	3	6	1	Sain						TRUE		0
111	59	19	12	6	5	6	4	0	Athos						FALSE		0
131	66	19	11	18	11	0	6	1	Erk						TRUE		0
113	60	8	15	15	8	4	3	0	Pent						FALSE		0
97	72	4	6	8	0	3	4	0	Kent						FALSE		0
121	61	15	17	1	12	0	15	1	Erk						TRUE		0
107	50	27	11	8	0	8	3	0	Athos						FALSE		0
118	66	19	10	10	2	9	2	0	Kent						FALSE		0
125	61	33	11	5	0	14	1	1	Pent						TRUE		0
100	45	6	13	20	1	15	0	0	Pent						FALSE		0
101	38	10	16	20	0	17	0	1	Sain						TRUE		0
87	52	3	4	3	18	7	7	0	Erk						FALSE		0
94	49	10	13	8	2	5	7	0	Athos						FALSE		0
98	38	15	9	6	5	18	7	0	Kent						FALSE		0
98	64	5	4	16	5	4	0	0	Pent						FALSE		0
109	45	7	15	26	2	13	1	0	Sain						FALSE		0
133	72	16	22	3	0	5	15	1	Erk						TRUE		0
111	65	16	4	5	13	5	3	0	Athos						FALSE		0
119	70	7	15	5	0	20	2	0	Kent						FALSE		0
105	55	30	8	12	0	0	0	0	Kent						FALSE		0
103	48	6	11	28	1	4	5	0	Pent						FALSE		0
140	56	14	14	34	0	16	6	1	Sain						TRUE		0
120	65	18	11	8	3	10	5	0	Erk						FALSE		0
121	63	18	16	17	4	0	3	0	Athos						FALSE		0
102	52	0	22	10	3	5	10	0	Athos						FALSE		0
110	45	28	13	6	7	2	10	1	Sain						TRUE		0
112	70	6	15	1	9	5	6	0	Sain						FALSE		0
118	64	18	17	6	3	2	8	1	Erk						TRUE		0
106	56	9	15	7	0	12	7	0	Athos						FALSE		0
87	48	6	13	0	10	4	6	0	Athos						FALSE		0
108	55	12	19	3	5	2	15	1	Sain						TRUE		0
103	64	5	11	4	0	4	15	0	Erk						FALSE		0
97	53	7	16	3	7	10	1	0	Sain						FALSE		0
123	67	23	18	9	0	1	5	1	Athos						TRUE		0
114	52	21	15	8	4	12	2	1	Athos						TRUE		0
113	71	3	15	9	0	0	15	0	Erk						FALSE		0
114	50	10	18	17	0	15	4	1	Sain						TRUE		0
131	78	6	5	4	30	2	6	0	Erk						FALSE		0
131	64	24	12	15	9	5	2	0	Sain						FALSE		0
138	71	34	10	5	0	10	8	0	Athos						FALSE		0
143	65	16	13	12	0	32	5	1	Pent						TRUE		0
84	41	0	12	20	1	4	6	0	Athos						FALSE		0
117	50	0	22	20	10	3	12	1	Sain						TRUE		0
131	46	26	9	17	0	33	0	0	Pent						FALSE		0
125	66	18	9	8	12	12	0	0	Kent						FALSE		0
144	62	27	8	16	8	18	5	1	Sain						TRUE		0
125	74	3	15	12	1	12	8	0	Erk						FALSE		0
120	66	38	2	4	1	2	7	0	Athos						FALSE		0
123	53	12	19	24	0	5	10	1	Pent						TRUE		0
101	50	7	19	11	3	1	10	0	Sain						FALSE		0
118	51	9	11	11	20	6	10	0	Athos						FALSE		0
120	53	12	22	16	0	12	5	1	Sain						TRUE		0
103	51	23	13	9	2	4	1	0	Pent						FALSE		0
87	54	3	11	7	5	3	4	0	Erk						FALSE		0
114	53	18	8	11	10	10	4	1	Sain						TRUE		0
108	65	6	15	13	0	1	8	0	Erk						FALSE		0
99	53	16	11	2	0	9	8	0	Athos						FALSE		0
132	65	22	15	8	7	15	0	0	Pent						FALSE		0
116	82	13	8	1	2	6	4	0	Athos						FALSE		0
140	50	26	11	28	2	23	0	1	Sain						TRUE		0
122	63	22	12	13	1	9	2	0	Kent						FALSE		0
107	70	12	0	1	6	3	15	0	Erk						FALSE		0
97	58	12	12	1	2	0	12	0	Erk						FALSE		0
88	49	7	11	9	2	8	2	0	Sain						FALSE		0
117	60	15	13	3	14	5	7	1	Athos						TRUE		0
120	61	10	18	10	0	18	3	0	Pent						FALSE		0
100	53	3	10	18	1	15	0	0	Sain						FALSE		0
106	67	13	3	7	2	7	7	0	Erk						FALSE		0
124	67	25	5	2	1	14	10	0	Athos						FALSE		0
130	66	23	17	12	2	10	0	1	Kent						TRUE		0
89	44	3	16	13	0	6	7	0	Nino						FALSE		0
118	52	6	15	32	2	4	7	1	Sain						TRUE		0
99	50	11	14	3	4	8	9	0	Ninian						FALSE		0
98	55	21	10	0	0	1	12	0	Sain						FALSE		0
100	46	10	14	6	0	15	9	1	Nino						TRUE		0
99	35	6	19	18	0	12	9	1	Sain						TRUE		0
97	40	8	16	12	2	7	12	0	Ninian						FALSE		0
97	48	8	14	13	2	10	2	0	Nino						FALSE		0
121	53	28	13	1	0	11	15	0	Ninian						FALSE		0
127	45	11	14	5	0	45	7	1	Sain						TRUE		0
98	51	0	13	2	8	15	9	0	Nino						FALSE		0
129	69	3	19	11	0	15	12	1	Sain						TRUE		0
95	34	14	15	14	7	6	5	0	Nino						FALSE		0
110	55	7	19	10	7	5	7	1	Sain						TRUE		0
98	41	9	18	6	2	10	12	0	Ninian						FALSE		0
99	51	8	16	1	0	11	12	0	Nino						FALSE		0
108	47	7	22	6	4	11	9	1	Sain						TRUE		0
106	54	18	11	8	0	6	9	1	Ninian						TRUE		0
86	28	0	12	3	0	36	7	0	Nino						FALSE		0
102	36	0	14	0	0	47	5	0	Sain						FALSE		0
101	43	19	13	10	0	4	12	0	Nino						FALSE		0
107	33	4	22	17	1	12	9	1	Sain						TRUE		0
108	46	21	17	6	0	14	4	0	Pent						FALSE		0
89	40	0	10	16	9	12	2	0	Nino						FALSE		0
96	43	11	8	13	0	13	8	0	Ninian						FALSE		0
96	43	11	8	13	0	13	8	0	Lucius						FALSE		0
88	43	2	12	14	9	4	4	0	Florina						FALSE		0
88	43	2	12	14	9	4	4	0	Lowen						FALSE		0
118	56	14	10	8	5	13	12	1	Sain						TRUE		0
112	46	14	15	16	0	14	7	0	Pent						FALSE		0
98	35	19	7	8	13	9	7	0	Nino						FALSE		0
113	62	23	12	4	1	6	5	0	Ninian						FALSE		0
127	68	15	15	8	0	17	4	1	Sain						TRUE		0
94	20	17	7	3	0	40	2	0	Lucius						FALSE		0
93	42	3	16	9	0	18	5	0	Nino						FALSE		0
131	67	16	22	3	2	9	12	1	Sain						TRUE		0
89	34	0	22	18	0	14	0	1	Nino						TRUE		0
75	35	5	13	0	3	19	0	0	Sain						FALSE		0
105	32	8	19	4	8	25	9	1	Nino						TRUE		0
99	41	15	22	2	0	7	12	0	Sain						FALSE		0
110	34	6	16	16	0	29	9	0	Sain						FALSE		0
124	39	16	22	18	0	17	12	1	Pent						TRUE		0
122	36	7	16	42	0	12	9	1	Sain						TRUE		0
122	54	13	19	19	1	10	6	0	Sain						FALSE		0
118	29	4	12	33	0	36	4	0	Nino						FALSE		0
130	65	12	14	1	0	23	15	1	Wallace						TRUE		0
109	41	9	7	15	3	32	2	0	Lucius						FALSE		0
111	47	10	16	14	5	7	12	1	Sain						TRUE		0
93	38	9	22	9	0	6	9	0	Nino						FALSE		0
120	51	14	19	9	4	11	12	1	Sain						TRUE		0
105	32	4	16	29	8	4	12	0	Nino						FALSE		0
113	41	17	13	12	0	14	6	0	Nino						FALSE		0
122	46	4	22	33	0	14	3	1	Sain						TRUE		0
133	62	12	22	15	7	3	12	1	Sain						TRUE		0
107	47	9	16	12	5	3	9	0	Nino						FALSE		0
107	37	4	22	26	0	9	15	0	Nino						FALSE		0
139	44	12	16	29	1	37	6	1	Sain						TRUE		0
95	41	3	22	17	4	3	5	0	Ninian						FALSE		0
74	32	2	7	21	2	10	0	0	Nino						FALSE		0
89	26	9	4	0	27	16	7	0	Sain						FALSE		0
105	45	3	7	16	0	24	10	1	Hawkeye						TRUE		0
90	36	0	13	18	10	11	2	0	Florina						FALSE		0
110	45	15	19	10	0	9	12	1	Nino						TRUE		0
100	56	16	16	0	0	0	12	0	Sain						FALSE		0
110	62	0	19	6	0	11	12	1	Sain						TRUE		0
